employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
URBN,3.7,,,,Unknown / Non-Applicable,URBN Senior Data Scientist,"Philadelphia, PA",119K,166K,"$140,441",/yr (Glassdoor est.)
"Octapharma Plasma, Inc.",3.1,,,,Unknown / Non-Applicable,Data Scientist,"Charlotte, NC",89K,119K,"$102,474",/yr (Glassdoor est.)
Global InfoTek Inc,3.9,Information Technology,Information Technology Support Services,,$25 to $100 million (USD),Data Scientist - SME 0010IS - 1511,"Reston, VA",75K,108K,"$89,850",/yr (Glassdoor est.)
Airwallex,3.5,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Talent Acquisition Partner - Engineering & Data Science,"San Francisco, CA",120K,150K,"$135,000",/yr (Employer est.)
Merck Sharp & Dohme,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891.0,$10+ billion (USD),Postdoctoral Research Fellow- Data Scientist,"Rahway, NJ",75K,86K,"$80,500",/yr (Employer est.)
Brunswick Corporation,3.9,Manufacturing,Consumer Product Manufacturing,1845.0,$1 to $5 billion (USD),Marketing Data Scientist,"Mettawa, IL",77K,106K,"$90,567",/yr (Glassdoor est.)
Lilly,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1876.0,$10+ billion (USD),Data Scientist,"Indianapolis, IN",103K,128K,"$114,959",/yr (Glassdoor est.)
Leadstack Inc,4.4,Human Resources & Staffing,HR Consulting,2016.0,Unknown / Non-Applicable,Data Analyst/Data Scientist,"San Francisco, CA",60.00,65.00,$62.50,/hr (Employer est.)
Veterans United Home Loans,4.3,Financial Services,Banking & Lending,2002.0,Unknown / Non-Applicable,Data Scientist,"Columbia, MO",78K,114K,"$94,497",/yr (Glassdoor est.)
Center for Family Health and Education,2.9,,,,Unknown / Non-Applicable,Data Scientist,"Panorama City, CA",83K,128K,"$103,023",/yr (Glassdoor est.)
The JAAW Group,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70K,100K,"$85,000",/yr (Employer est.)
Tencent,4.0,Information Technology,Internet & Web Services,1998.0,Unknown / Non-Applicable,Data Scientist Associate,"Palo Alto, CA",72K,144K,"$108,230",/yr (Employer est.)
"People, Technology & Processes",3.5,Information Technology,Enterprise Software & Network Solutions,2010.0,$5 to $25 million (USD),Data Scientist,"Fort Eustis, VA",90K,126K,"$106,121",/yr (Glassdoor est.)
RVO Health,3.5,Healthcare,Hospitals & Health Clinics,2022.0,Unknown / Non-Applicable,"Data Scientist, Medicare","Charlotte, NC",94K,120K,"$107,200",/yr (Employer est.)
Spektrum,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Virginia Beach, VA",87K,129K,"$106,005",/yr (Glassdoor est.)
Cox Automotive,4.0,Information Technology,Information Technology Support Services,2014.0,Unknown / Non-Applicable,Data Scientist I,"Irvine, CA",64K,96K,"$80,300",/yr (Employer est.)
Synkriom Technology Pvt. Ltd.,4.6,Information Technology,Information Technology Support Services,2015.0,$5 to $25 million (USD),Data Scientist (Data Integrator Exp Need Local),"New Brunswick, NJ",80.00,90.00,$85.00,/hr (Employer est.)
OpenAI,4.2,Management & Consulting,Research & Development,,Unknown / Non-Applicable,"Strategic Finance, Data Scientist","San Francisco, CA",245K,310K,"$277,500",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Data Scientist, GBG Data Science","New York, NY",109K,171K,"$140,000",/yr (Employer est.)
"Viasat, Inc.",3.8,Telecommunications,Telecommunications Services,1986.0,$1 to $5 billion (USD),"Machine Learning Engineer, Early Career","Carlsbad, CA",94K,158K,"$125,500",/yr (Employer est.)
PDF Solutions,3.7,Information Technology,Enterprise Software & Network Solutions,1991.0,$100 to $500 million (USD),Data Scientist,"Santa Clara, CA",120K,160K,"$140,000",/yr (Employer est.)
Next Insurance,3.8,Insurance,Insurance Carriers,2016.0,Unknown / Non-Applicable,"Data Scientist, Revenue & Finance","Palo Alto, CA",139K,178K,"$157,194",/yr (Glassdoor est.)
TapestryHealth,3.5,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Senior Data Analyst,Remote,100K,130K,"$115,000",/yr (Employer est.)
Grainger,4.1,Retail & Wholesale,Wholesale,1927.0,$10+ billion (USD),Sr Data Scientist - 307142,"Lake Forest, IL",83K,117K,"$98,911",/yr (Glassdoor est.)
Pacific Northwest National Laboratory,4.1,"Energy, Mining & Utilities",Energy & Utilities,1965.0,$1 to $5 billion (USD),Biostatistician Data Scientist 1,"Richland, WA",80K,108K,"$92,955",/yr (Glassdoor est.)
Labcorp,3.6,Healthcare,Health Care Services & Hospitals,1978.0,$10+ billion (USD),Senior Data Scientist,"Durham, NC",124K,158K,"$139,754",/yr (Glassdoor est.)
"University of California, Santa Cruz",4.1,Education,Colleges & Universities,1965.0,$100 to $500 million (USD),Data Scientist,"Monterey, CA",72K,72K,"$71,500",/yr (Employer est.)
Itemize Corp.,2.9,Information Technology,Computer Hardware Development,2013.0,$1 to $5 million (USD),Data Scientist,Remote,130K,140K,"$135,000",/yr (Employer est.)
National Consulting Partners,2.9,,,,Unknown / Non-Applicable,Data Scientist,Remote,110K,130K,"$120,000",/yr (Employer est.)
Milestone Marketing Solutions,3.9,,,,Unknown / Non-Applicable,Data Scientist,"O Fallon, MO",90K,100K,"$95,000",/yr (Employer est.)
OneZero Solutions,5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist - USSOCOM,"Tampa, FL",91K,132K,"$109,535",/yr (Glassdoor est.)
"Postal.io, Inc.",4.4,Information Technology,Software Development,2019.0,Unknown / Non-Applicable,Data Scientist,"San Luis Obispo, CA",86K,132K,"$106,167",/yr (Glassdoor est.)
United Airlines,3.9,Transportation & Logistics,"Airlines, Airports & Air Transportation",1926.0,$10+ billion (USD),Senior Data Scientist - Statistics,"Chicago, IL",93K,123K,"$106,982",/yr (Glassdoor est.)
WindESCo,3.0,,,,Unknown / Non-Applicable,Data Scientist,"Burlington, MA",98K,148K,"$120,443",/yr (Glassdoor est.)
Flow,4.0,Financial Services,Stock Exchanges,2004.0,$100 to $500 million (USD),Senior Data Analyst,"New York, NY",130K,160K,"$145,000",/yr (Employer est.)
Na Oiwi Kane,3.1,,,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",89K,126K,"$105,650",/yr (Glassdoor est.)
T-Mobile,3.7,Telecommunications,Telecommunications Services,2001.0,$10+ billion (USD),Data Scientist - Cybersecurity,"Bellevue, WA",112K,152K,"$132,000",/yr (Employer est.)
Harford Community College,3.9,Education,Colleges & Universities,1957.0,Unknown / Non-Applicable,Data Scientist,"Bel Air, MD",61K,79K,"$69,890",/yr (Employer est.)
FalconSmartIT,4.3,,,,Unknown / Non-Applicable,Senior Data Scientist for eComm Analytics,"Bentonville, AR",96K,130K,"$111,988",/yr (Glassdoor est.)
Lighthouse Document Technologies Inc,4.0,Legal,Legal,1995.0,Unknown / Non-Applicable,Data Scientist I,Remote,87K,116K,"$101,060",/yr (Employer est.)
eureka strategic consulting,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Columbia, MD",99K,133K,"$114,380",/yr (Glassdoor est.)
Little Caesars/Blue Line Distribution,3.4,Restaurants & Food Service,Restaurants & Cafes,1959.0,Unknown / Non-Applicable,Data Scientist,"Detroit, MI",86K,116K,"$100,087",/yr (Glassdoor est.)
Ascendion,4.1,Information Technology,Software Development,2022.0,Unknown / Non-Applicable,Data Scientist,"Raleigh, NC",120K,130K,"$125,000",/yr (Employer est.)
Hastings Mutual Insurance Company,3.8,Insurance,Insurance Carriers,1885.0,$100 to $500 million (USD),Claim Data Scientist,"Hastings, MI",82K,115K,"$97,310",/yr (Glassdoor est.)
Xcel Energy,3.3,"Energy, Mining & Utilities",Energy & Utilities,1909.0,$10+ billion (USD),Associate Data Scientist,"Denver, CO",81K,116K,"$98,434",/yr (Employer est.)
Integration Developer Network LLC,4.9,Information Technology,Information Technology Support Services,2011.0,$1 to $5 million (USD),Senior Data Scientist,United States,55.00,60.00,$57.50,/hr (Employer est.)
Zivahh,4.0,,,,Unknown / Non-Applicable,Data Scientist,"Peoria, IL",40.00,43.00,$41.50,/hr (Employer est.)
The University of Pittsburgh,3.9,Education,Colleges & Universities,1787.0,Less than $1 million (USD),Data Scientist,"Pittsburgh, PA",66K,99K,"$81,020",/yr (Glassdoor est.)
Schlumberger,4.1,"Energy, Mining & Utilities",Energy & Utilities,1926.0,$10+ billion (USD),Senior Data Scientist,"Menlo Park, CA",190K,230K,"$210,000",/yr (Employer est.)
MIT,4.4,Education,Colleges & Universities,1861.0,$1 to $5 billion (USD),Data Scientist – Learning Analytics,"Cambridge, MA",110K,125K,"$117,500",/yr (Employer est.)
Predictive Sales AI,5.0,Information Technology,Enterprise Software & Network Solutions,2016.0,Unknown / Non-Applicable,Data Engineer,"Chicago, IL",90K,126K,"$106,296",/yr (Glassdoor est.)
University of Maryland Medical System,3.3,Healthcare,Health Care Services & Hospitals,1984.0,$1 to $5 billion (USD),"Healthcare Data Scientist - ML, AI, Stats, OR","North Bethesda, MD",97K,149K,"$120,058",/yr (Glassdoor est.)
The Washington Post,4.1,Media & Communication,Publishing,1877.0,Unknown / Non-Applicable,Principal Data Scientist,"Washington, DC",117K,160K,"$137,021",/yr (Glassdoor est.)
Sonoma Consulting Inc.,3.1,Human Resources & Staffing,HR Consulting,1998.0,$100 to $500 million (USD),Data Scientist with Big Data,"Plano, TX",96K,133K,"$113,304",/yr (Glassdoor est.)
Stanford University,4.3,Education,Colleges & Universities,1891.0,$10+ billion (USD),"Data Scientist, Global Capital Allocation Project","Stanford, CA",176K,199K,"$187,500",/yr (Employer est.)
Corning,3.7,Manufacturing,Electronics Manufacturing,1851.0,$10+ billion (USD),Sr. Data Scientist - Optimization,"Tewksbury, MA",98K,136K,"$115,611",/yr (Glassdoor est.)
Tellus Solutions,4.0,Information Technology,Information Technology Support Services,2006.0,$5 to $25 million (USD),"Data Scientist(Python,R,Javascript,Power BI,Pharmacokinetics)(Pharmaceutical)",Remote,83.00,83.00,$83.00,/hr (Employer est.)
AdTheorent,3.5,Media & Communication,Advertising & Public Relations,2012.0,$100 to $500 million (USD),Data Scientist - NYC,"New York, NY",95K,105K,"$100,000",/yr (Employer est.)
"Professional Solutions Delivered, LLC",4.6,Information Technology,Information Technology Support Services,2009.0,$25 to $100 million (USD),Senior Data Scientist,"Washington, DC",121K,161K,"$139,568",/yr (Glassdoor est.)
INflow Federal,4.9,Information Technology,Information Technology Support Services,2013.0,$5 to $25 million (USD),Jr Data Scientist,"Springfield, VA",140K,180K,"$160,000",/yr (Employer est.)
PacArctic LLC,4.4,Management & Consulting,Business Consulting,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",101K,146K,"$121,306",/yr (Glassdoor est.)
"Gametime United, Inc.",4.4,"Arts, Entertainment & Recreation",Ticket Sales,2013.0,$25 to $100 million (USD),Data Scientist - Finance,Remote,150K,205K,"$177,500",/yr (Employer est.)
Tendo,4.6,Information Technology,Software Development,2020.0,Unknown / Non-Applicable,Senior Data Scientist,"Philadelphia, PA",85K,115K,"$100,000",/yr (Employer est.)
Castellum Inc,2.6,,,,Unknown / Non-Applicable,"Senior Information Operations Data Scientist (AI, ML)","Arlington, VA",89K,135K,"$109,582",/yr (Glassdoor est.)
Abt JTA,3.7,Management & Consulting,Research & Development,1965.0,$500 million to $1 billion (USD),Data Scientist (May 2024 Graduates),"Rockville, MD",70K,90K,"$80,000",/yr (Employer est.)
Faire,4.4,Retail & Wholesale,Wholesale,2017.0,Unknown / Non-Applicable,Senior Data Scientist - Search & Recommendation,Remote,156K,215K,"$185,250",/yr (Employer est.)
National Security Agency,3.7,Government & Public Administration,National Agencies,1962.0,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",80K,192K,"$135,818",/yr (Employer est.)
Vitesco Technologies Group AG,3.1,Healthcare,Health Care Services & Hospitals,2001.0,$1 to $5 billion (USD),Quality Data Scientist,"Seguin, TX",79K,107K,"$92,025",/yr (Glassdoor est.)
Sanborn Map Company,3.3,Management & Consulting,Research & Development,1886.0,$25 to $100 million (USD),Geospatial Data Scientist,"Boston, MA",67K,106K,"$86,500",/yr (Employer est.)
ryzen,4.4,Human Resources & Staffing,HR Consulting,1999.0,$25 to $100 million (USD),Data Scientist,"Cupertino, CA",133K,179K,"$154,258",/yr (Glassdoor est.)
Online Commerce Group (OCG),4.1,Manufacturing,Consumer Product Manufacturing,,Unknown / Non-Applicable,Data Scientist - Generative AI,"Montgomery, AL",78K,124K,"$98,352",/yr (Glassdoor est.)
Federal Bureau of Investigation,3.8,Government & Public Administration,National Agencies,1908.0,Unknown / Non-Applicable,Data Scientist,"Clarksburg, WV",75K,117K,"$93,234",/yr (Glassdoor est.)
Odyssey Logistics & Technology Corporate,2.9,Transportation & Logistics,Shipping & Trucking,2003.0,$1 to $5 billion (USD),Data Scientist,"Charlotte, NC",82K,114K,"$96,736",/yr (Glassdoor est.)
