employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,estimator
Meridiansoft INC,4.1,,,,,DATA Science/ Data Scientist,"Phoenix, AZ",57600.0,86822.4,72211.20000000001,Employer
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Data Scientist I,Remote,80000.0,92000.0,86000.0,Employer
Odyssey Logistics & Technology Corporate,2.9,Transportation & Logistics,Shipping & Trucking,2003.0,$1 to $5 billion (USD),Data Scientist,"Charlotte, NC",82000.0,114000.0,96736.0,Glassdoor
CODAMETRIX,4.7,Information Technology,Information Technology Support Services,2018.0,Unknown / Non-Applicable,Data Scientist III (Applied Research),"Boston, MA",150000.0,150000.0,150000.0,Employer
XPO,3.6,Transportation & Logistics,Shipping & Trucking,2011.0,$5 to $10 billion (USD),"Scientist, Data Science - Hybrid","Boston, MA",72000.0,124000.0,94761.0,Glassdoor
"Synertex, LLC",3.8,Government & Public Administration,National Agencies,2016.0,Unknown / Non-Applicable,Data Analyst/Scientist,"Linthicum Heights, MD",72000.0,111000.0,89179.0,Glassdoor
Skydio,4.7,Information Technology,Computer Hardware Development,2014.0,Unknown / Non-Applicable,Senior Autonomy Engineer - Deep Learning,"San Mateo, CA",170000.0,237000.0,203250.0,Employer
NICE,3.9,Information Technology,Enterprise Software & Network Solutions,1986.0,$1 to $5 billion (USD),Data Scientist,"Atlanta, GA",90000.0,123000.0,105213.0,Glassdoor
Lukos,4.8,Financial Services,Accounting & Tax,,$1 to $5 million (USD),Data Scientist,"Macdill AFB, FL",75000.0,116000.0,92958.0,Glassdoor
Interclypse Inc,4.7,Information Technology,Software Development,2007.0,$5 to $25 million (USD),Data Scientist - All Levels,"Reston, VA",77000.0,115000.0,94075.0,Glassdoor
Huski,4.6,,,,,Data Scientist,Remote,100000.0,150000.0,125000.0,Employer
ShyftLabs,3.8,Management & Consulting,Business Consulting,2020.0,Unknown / Non-Applicable,Data Scientist,"Denver, CO",92000.0,136000.0,111962.0,Glassdoor
Integra Connect Careers,3.3,,,,,Data Scientist,United States,75000.0,120000.0,97500.0,Employer
Meritor ITconsulting,4.8,,,,,AI/ML Engineer,Remote,115200.0,115200.0,115200.0,Employer
Community Behavioral Health.,3.2,Healthcare,Health Care Services & Hospitals,1997.0,$500 million to $1 billion (USD),Sr. Data Analyst,"Philadelphia, PA",76000.0,84000.0,79700.0,Employer
Airwallex,3.5,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Staff Data Scientist,"San Francisco, CA",140000.0,185000.0,160885.0,Glassdoor
Booz Allen Hamilton,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Research Data Scientist,"Washington, DC",73000.0,166000.0,119550.0,Employer
OpenAI,4.2,Management & Consulting,Research & Development,,Unknown / Non-Applicable,"Data Scientist, GTM","San Francisco, CA",131000.0,184000.0,155061.0,Glassdoor
National Consulting Partners,3.3,,,,Unknown / Non-Applicable,Data Scientist,Remote,110000.0,130000.0,120000.0,Employer
"DirectViz Solutions, LLC",3.4,Information Technology,Information Technology Support Services,2012.0,Unknown / Non-Applicable,"Data Scientist-Sierra Vista, AZ","Sierra Vista, AZ",93000.0,129000.0,109295.0,Glassdoor
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Sr Data Scientist,Remote,80000.0,92000.0,86000.0,Employer
The Mosaic Company,4.1,"Energy, Mining & Utilities",Mining & Metals,2004.0,$5 to $10 billion (USD),Data Scientist,"Tampa, FL",82000.0,118000.0,98339.0,Glassdoor
"US News & World Report ,L.P.",2.6,Media & Communication,Publishing,1933.0,$100 to $500 million (USD),Data Scientist,"Washington, DC",101000.0,145000.0,121010.0,Glassdoor
McDonald's Corporation,3.6,Restaurants & Food Service,Restaurants & Cafes,1955.0,$10+ billion (USD),Data Scientist,"Chicago, IL",105000.0,150000.0,125035.0,Glassdoor
Thalo Labs,4.1,,,,Unknown / Non-Applicable,Data Scientist,"Brooklyn, NY",130000.0,180000.0,155000.0,Employer
WindESCo,3.0,,,,Unknown / Non-Applicable,Data Scientist,"Burlington, MA",98000.0,148000.0,120443.0,Glassdoor
Belay Technologies,4.7,Information Technology,Information Technology Support Services,2008.0,Unknown / Non-Applicable,Mid Data Scientist,"Annapolis Junction, MD",90000.0,127000.0,106615.0,Glassdoor
ID.me,3.1,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,"Data Scientist V, Marketplaces Personalization","McLean, VA",140000.0,198000.0,169000.0,Employer
Data Inc,3.9,Information Technology,Information Technology Support Services,1983.0,$25 to $100 million (USD),Senior Data Analyst,"New York, NY",115200.0,134400.0,124800.0,Employer
Ekimetrics,4.1,Media & Communication,Advertising & Public Relations,2006.0,$25 to $100 million (USD),Junior Consultant in Strategy & Data Science - New York - May 2024,"New York, NY",75000.0,75000.0,75000.0,Employer
NutaNXT Technologies,4.8,,,,Unknown / Non-Applicable,Data Scientist,"Santa Clara, CA",113000.0,159000.0,134033.0,Glassdoor
VTS3 Corp.,2.8,Human Resources & Staffing,HR Consulting,2016.0,Unknown / Non-Applicable,Data Scientist,"Trenton, NJ",87000.0,143000.0,111635.0,Glassdoor
Christian Dior Perfumes,3.6,Retail & Wholesale,"Department, Clothing & Shoe Stores",1947.0,$1 to $5 billion (USD),"Data Scientist, Parfums Christian Dior","New York, NY",125000.0,140000.0,132500.0,Employer
DHL,3.8,Transportation & Logistics,Shipping & Trucking,1969.0,$10+ billion (USD),Sr Business Data Analyst,"Bow, NH",78000.0,111000.0,93257.0,Glassdoor
NIMIR Corporation,4.7,,,,,Sr. Data Scientist,"Washington, DC",153600.0,153600.0,153600.0,Employer
Gradient Metrics,2.9,,,,Unknown / Non-Applicable,(Survey) Marketing Data Scientist,Remote,50000.0,100000.0,75000.0,Employer
PacArctic LLC,4.4,Management & Consulting,Business Consulting,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",101000.0,146000.0,121306.0,Glassdoor
Flow,4.0,Financial Services,Stock Exchanges,2004.0,$100 to $500 million (USD),Senior Data Analyst,"New York, NY",130000.0,160000.0,145000.0,Employer
"The Kenjya-Trusant Group, LLC",3.7,Management & Consulting,Business Consulting,2002.0,$5 to $25 million (USD),(VV) Data Scientist - Level 2 (TS/SCI w/ Poly),"Augusta, GA",65000.0,102000.0,81171.0,Glassdoor
DATSURA,4.3,,,,,Data Analyst / Data Scientist,"Washington, DC",130000.0,150000.0,140000.0,Employer
Gray Tier Technologies,4.0,Information Technology,Enterprise Software & Network Solutions,,$1 to $5 million (USD),Data Scientist,"Crystal City, VA",81000.0,117000.0,97213.0,Glassdoor
Na Oiwi Kane,4.2,,,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",89000.0,126000.0,105650.0,Glassdoor
Cisco Systems,4.3,Information Technology,Enterprise Software & Network Solutions,1984.0,$10+ billion (USD),"Senior Data Scientist, RMA Demand Planning","Research Triangle Park, NC",102000.0,135000.0,117208.0,Glassdoor
Kampgrounds Of America,3.4,Hotels & Travel Accommodation,Hotels & Resorts,,$100 to $500 million (USD),DATA SCIENTIST,United States,80000.0,100000.0,90000.0,Employer
Kina'ole Foundation,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Huntsville, AL",86000.0,114000.0,98792.0,Glassdoor
Solidus Technical Solutions,4.9,Aerospace & Defense,Aerospace & Defense,2000.0,$5 to $25 million (USD),Data Scientist,"Eglin AFB, FL",82000.0,136000.0,105659.0,Glassdoor
Lighthouse Document Technologies Inc,4.0,Legal,Legal,1995.0,Unknown / Non-Applicable,Data Scientist I,Remote,87000.0,116000.0,101060.0,Employer
CTC Group,3.6,,,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",88000.0,123000.0,104115.0,Glassdoor
Tellus Solutions,4.0,Information Technology,Information Technology Support Services,2006.0,$5 to $25 million (USD),Data Scientist,"North Chicago, IL",119040.0,119040.0,119040.0,Employer
Avanade,4.1,Information Technology,Information Technology Support Services,2000.0,$1 to $5 billion (USD),Data Scientist,"Chicago, IL",139000.0,139000.0,138500.0,Employer
"Intelliswift Software, Inc.",3.9,Information Technology,Software Development,2001.0,$100 to $500 million (USD),"Data Scientist, Product Insights","San Francisco, CA",202809.59999999998,202809.59999999998,202809.59999999998,Employer
DDI,4.1,,,,$5 to $25 million (USD),Data Scientist - Natural Language Processing,Pennsylvania,111000.0,161000.0,136325.0,Employer
Datasync Techonlogies Inc,4.9,Information Technology,Information Technology Support Services,2003.0,Unknown / Non-Applicable,Data Scientist,"McLean, VA",107000.0,140000.0,122062.0,Glassdoor
iHealth Labs Inc,3.9,Healthcare,Health Care Services & Hospitals,2010.0,Unknown / Non-Applicable,Senior Data Analyst,"Sunnyvale, CA",100000.0,140000.0,120000.0,Employer
Curai,4.8,Healthcare,Hospitals & Health Clinics,2017.0,Unknown / Non-Applicable,Senior Data Scientist,United States,175000.0,225000.0,200000.0,Employer
ryzen,4.4,Human Resources & Staffing,HR Consulting,1999.0,$25 to $100 million (USD),Data Scientist,"Cupertino, CA",133000.0,179000.0,154258.0,Glassdoor
National Grid Renewables,4.2,"Energy, Mining & Utilities",Energy & Utilities,,Unknown / Non-Applicable,Data Scientist,"Bloomington, MN",91000.0,118000.0,103767.0,Glassdoor
Industrial Info Resources,3.9,Management & Consulting,Research & Development,1983.0,Unknown / Non-Applicable,Junior Data Scientist,"Sugar Land, TX",74000.0,116000.0,92692.0,Glassdoor
iShare Inc,4.6,,,,Unknown / Non-Applicable,AWS Data Engineer,"Jersey City, NJ",96000.0,115200.0,105600.0,Employer
The JAAW Group,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70000.0,100000.0,85000.0,Employer
Big Bright International,3.3,,,,Unknown / Non-Applicable,DATA SCIENTIST,"Chicago, IL",86000.0,124000.0,103389.0,Glassdoor
OpenAI,4.2,Management & Consulting,Research & Development,,Unknown / Non-Applicable,"Strategic Finance, Data Scientist","San Francisco, CA",245000.0,310000.0,277500.0,Employer
Newbold Advisors,4.0,Financial Services,Accounting & Tax,,Unknown / Non-Applicable,Data Scientist | InfoSec Framework,"Pensacola, FL",140160.0,145920.0,143040.0,Employer
"Gametime United, Inc.",4.4,"Arts, Entertainment & Recreation",Ticket Sales,2013.0,$25 to $100 million (USD),Data Scientist - Finance,Remote,150000.0,205000.0,177500.0,Employer
ID.me,3.1,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,Senior Data Analyst,"McLean, VA",107000.0,141000.0,123962.0,Employer
Pipl,3.4,Information Technology,Internet & Web Services,2007.0,$25 to $100 million (USD),Data Scientist,"San Francisco, CA",108000.0,159000.0,131425.0,Glassdoor
Capital Group Companies,4.1,Financial Services,Investment & Asset Management,1931.0,$1 to $5 billion (USD),Data Scientist,"Los Angeles, CA",117000.0,187000.0,152066.0,Employer
InMarket,4.4,Media & Communication,Publishing,2010.0,$100 to $500 million (USD),Data Scientist - Measurement,"North, SC",108000.0,180000.0,144179.0,Employer
Spektrum,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Virginia Beach, VA",87000.0,129000.0,106005.0,Glassdoor
Credit Karma,4.3,Management & Consulting,Research & Development,2007.0,Unknown / Non-Applicable,Senior Partner Decision Scientist,"Charlotte, NC",121000.0,169000.0,142950.0,Glassdoor
Momentum,3.5,Media & Communication,Advertising & Public Relations,1987.0,$100 to $500 million (USD),Data Scientist,"Tysons Corner, VA",110000.0,215000.0,162500.0,Employer
Tater,3.1,Financial Services,Banking & Lending,,Unknown / Non-Applicable,Data Engineer / Data Scientist,"Lehi, UT",108000.0,144000.0,124917.0,Glassdoor
2HB Incorporated,5.0,Information Technology,Computer Hardware Development,1994.0,$1 to $5 million (USD),Data Scientist,"Annapolis Junction, MD",71000.0,106000.0,86860.0,Glassdoor
Aptive Environmental LLC,3.7,Management & Consulting,Building & Personnel Services,2015.0,Unknown / Non-Applicable,Data Scientist,"Provo, UT",120000.0,120000.0,120000.0,Employer
Terakeet,3.1,Media & Communication,Advertising & Public Relations,2001.0,$100 to $500 million (USD),Sr. Data Scientist,"Syracuse, NY",107000.0,162000.0,134500.0,Employer
iconvergence,4.2,,,,Less than $1 million (USD),Senior Data Scientist,Remote,154000.0,163000.0,158546.0,Employer
Global InfoTek Inc,3.9,Information Technology,Information Technology Support Services,,$25 to $100 million (USD),Data Scientist - SME 0010IS - 1511,"Reston, VA",75000.0,108000.0,89850.0,Glassdoor
TapestryHealth,3.5,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Senior Data Analyst,Remote,100000.0,130000.0,115000.0,Employer
"Charlie Health Engineering, Product & Design",3.2,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Senior Data Scientist,"New York, NY",144000.0,198000.0,171000.0,Employer
Synkriom Technology Pvt. Ltd.,4.6,Information Technology,Information Technology Support Services,2015.0,$5 to $25 million (USD),Data Scientist (Data Integrator Exp Need Local),"New Brunswick, NJ",153600.0,172800.0,163200.0,Employer
Cint,3.6,Information Technology,Software Development,1998.0,$100 to $500 million (USD),Data Scientist,"New York, NY",90000.0,110000.0,100000.0,Employer
Cognowiz solutions LLC,3.7,,,,,Data Scientist,"Herndon, VA",70000.0,70000.0,70000.0,Employer
Child Mind Institute,3.1,Healthcare,Health Care Services & Hospitals,2009.0,$25 to $100 million (USD),Data Scientist,"New York, NY",118000.0,148000.0,132903.0,Employer
Sheetz,3.7,Retail & Wholesale,Convenience Stores,1952.0,$5 to $10 billion (USD),Data Analyst I - Pricing,"Pittsburgh, PA",53000.0,82000.0,66320.0,Glassdoor
Techhive consulting llc,4.5,,,,,Senior Clinical Data Analyst,Remote,96000.0,96000.0,96000.0,Employer
Creditserve,4.9,Management & Consulting,Business Consulting,2015.0,Unknown / Non-Applicable,Data Scientist II,Remote,100000.0,110000.0,105000.0,Employer
BlueConduit,3.3,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,Data Scientist,Remote,120000.0,135000.0,127500.0,Employer
Marken,2.4,Transportation & Logistics,Taxi & Car Services,1980.0,$5 to $25 million (USD),Data Scientist,"Durham, NC",99000.0,134000.0,114893.0,Glassdoor
AmeriTEK Global,5.0,,,2017.0,$5 to $25 million (USD),Data Scientist,"Piscataway, NJ",73000.0,108000.0,89084.0,Glassdoor
goop,3.9,Personal Consumer Services,Beauty & Wellness,2008.0,Unknown / Non-Applicable,Data Scientist,"Santa Monica, CA",90000.0,103000.0,96250.0,Employer
Tendo,4.6,Information Technology,Software Development,2020.0,Unknown / Non-Applicable,Senior Data Scientist,"Philadelphia, PA",85000.0,115000.0,100000.0,Employer
"Stable Analytics, LLC",4.0,,,,,Data Scientist,"Lexington, KY",85000.0,140000.0,112500.0,Employer
Legal Soft Solution,3.2,Human Resources & Staffing,HR Consulting,,Unknown / Non-Applicable,Senior Data Analyst,"Woodland Hills, CA",80000.0,150000.0,115000.0,Employer
Pinnacle Minds Inc.,4.5,,,,,AI Data Analyst,Remote,115000.0,115000.0,115000.0,Employer
360 IT Professionals,2.4,Human Resources & Staffing,HR Consulting,,$1 to $5 million (USD),Data Scientist,"San Ramon, CA",109000.0,159000.0,131465.0,Glassdoor
Bilin Technology,3.8,,,,Unknown / Non-Applicable,Data Scientist,"Boston, MA",92000.0,143000.0,114596.0,Glassdoor
MOMENTUM,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Tysons Corner, VA",110000.0,210000.0,160000.0,Employer
University of Maryland Medical System,3.3,Healthcare,Health Care Services & Hospitals,1984.0,$1 to $5 billion (USD),"Healthcare Data Scientist - ML, AI, Stats, OR","North Bethesda, MD",97000.0,149000.0,120058.0,Glassdoor
Govini,3.7,Information Technology,Enterprise Software & Network Solutions,2011.0,Unknown / Non-Applicable,Data Scientist,"Pittsburgh, PA",94000.0,137000.0,113658.0,Glassdoor
Capture Higher Ed,3.6,Education,Colleges & Universities,2011.0,$5 to $25 million (USD),Data Scientist,Remote,92000.0,111000.0,101825.0,Employer
Radian,4.1,Insurance,Insurance Carriers,1977.0,$1 to $5 billion (USD),Data Scientist I - Hybrid,"New York, NY",79000.0,112000.0,95550.0,Employer
Laiba Technologies,5.0,,,,Unknown / Non-Applicable,Data Scientist,Remote,144000.0,153600.0,148800.0,Employer
VNS Health,3.4,Healthcare,Health Care Services & Hospitals,1893.0,$500 million to $1 billion (USD),"Data Scientist, Health Economics",Manhattan,93000.0,117000.0,105100.0,Employer
Porch,3.2,Information Technology,Enterprise Software & Network Solutions,2013.0,$25 to $100 million (USD),Data Scientist,"Seattle, WA",86000.0,127000.0,106400.0,Employer
GSK,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1830.0,$10+ billion (USD),Senior Data Scientist,"Durham, NC",133000.0,166000.0,148644.0,Glassdoor
Design Interactive,4.5,Information Technology,Software Development,1998.0,$5 to $25 million (USD),Data Scientist,"Orlando, FL",80000.0,100000.0,90000.0,Employer
Honovee,5.0,,,,,Data Scientist,United States,100000.0,115000.0,107500.0,Employer
Machinify,4.1,Information Technology,Software Development,2016.0,Unknown / Non-Applicable,Data Scientist | Healthcare Data,California,170000.0,250000.0,210000.0,Employer
Lowe's,3.5,Retail & Wholesale,Home Furniture & Housewares Stores,1921.0,$10+ billion (USD),Data Scientist - Store Inventory,"Charlotte, NC",75000.0,143000.0,109200.0,Employer
Housecall Pro,4.0,Information Technology,Computer Hardware Development,2013.0,Unknown / Non-Applicable,Senior Data Scientist I,Remote,116000.0,145000.0,130500.0,Employer
DTE Energy,3.7,"Energy, Mining & Utilities",Energy & Utilities,1903.0,$10+ billion (USD),Data Scientist - PMO,"Detroit, MI",93000.0,124000.0,107575.0,Glassdoor
Embold Health,3.8,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist,"Nashville, TN",91000.0,120000.0,104183.0,Glassdoor
Advanced Sciences and Technologies (AS&T),3.9,Information Technology,Computer Hardware Development,,$25 to $100 million (USD),Data Scientist Analyst,"Warrenton, VA",76000.0,115000.0,93559.0,Glassdoor
"CareConnectMD, Inc",2.0,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist - Finance & Analytics,"Costa Mesa, CA",90000.0,129000.0,108078.0,Glassdoor
QinetiQ US,3.6,Aerospace & Defense,Aerospace & Defense,1956.0,$100 to $500 million (USD),Data Scientist,"Washington, DC",97000.0,143000.0,117397.0,Glassdoor
CLARA analytics,4.3,Information Technology,Enterprise Software & Network Solutions,2017.0,Unknown / Non-Applicable,Data Scientist,"Santa Clara, CA",136000.0,176000.0,155173.0,Glassdoor
WEX Inc.,3.7,Financial Services,Investment & Asset Management,1983.0,$1 to $5 billion (USD),Data Scientist III,Remote,113000.0,150000.0,131500.0,Employer
Cadent,3.4,Media & Communication,Advertising & Public Relations,,Unknown / Non-Applicable,Data Scientist,"Philadelphia, PA",101000.0,147000.0,121844.0,Glassdoor
Attain,3.8,Management & Consulting,Business Consulting,2009.0,$100 to $500 million (USD),Data Scientist,"Redwood City, CA",116000.0,165000.0,138615.0,Glassdoor
Lilly,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1876.0,$10+ billion (USD),Data Scientist,"Indianapolis, IN",103000.0,128000.0,114959.0,Glassdoor
VivusTech,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Chantilly, VA",82000.0,117000.0,98065.0,Glassdoor
Abt JTA,3.7,Management & Consulting,Research & Development,1965.0,$500 million to $1 billion (USD),Data Scientist (May 2024 Graduates),"Rockville, MD",70000.0,90000.0,80000.0,Employer
Catalytic Data Science,4.2,Information Technology,Computer Hardware Development,,$1 to $5 million (USD),Data and Machine Learning Scientist,"Westport, CT",89000.0,126000.0,105408.0,Glassdoor
Marsh,4.0,Insurance,Insurance Agencies & Brokerages,1871.0,$10+ billion (USD),Data Scientist,United States,108000.0,163000.0,135403.0,Employer
QxBranch,4.7,Information Technology,Enterprise Software & Network Solutions,2014.0,$1 to $5 million (USD),Data Scientist QxBranch,"Washington, DC",67000.0,110000.0,85689.0,Glassdoor
Integra Connect,3.3,Information Technology,Information Technology Support Services,2014.0,Unknown / Non-Applicable,Data Scientist,Remote,75000.0,120000.0,97500.0,Employer
"Marriott International, Inc",4.0,Hotels & Travel Accommodation,Hotels & Resorts,1927.0,$10+ billion (USD),Data Scientist,"Bethesda, MD",96000.0,190000.0,143096.0,Employer
Heineken,4.2,Manufacturing,Food & Beverage Manufacturing,1864.0,$10+ billion (USD),Data Scientist,"Petaluma, CA",104000.0,159000.0,129025.0,Glassdoor
Hastings Mutual Insurance Company,3.8,Insurance,Insurance Carriers,1885.0,$100 to $500 million (USD),Claim Data Scientist,"Hastings, MI",82000.0,115000.0,97310.0,Glassdoor
Axcelis Technologies Inc.,4.1,Manufacturing,Machinery Manufacturing,1995.0,$100 to $500 million (USD),Data Scientist I,"Beverly, MA",89000.0,124000.0,105301.0,Glassdoor
Deluxe,3.2,Financial Services,Financial Transaction Processing,1915.0,$1 to $5 billion (USD),Data Scientist,"New York, NY",80000.0,90000.0,85000.0,Employer
INflow Federal,4.9,Information Technology,Information Technology Support Services,2013.0,$5 to $25 million (USD),Data Scientist,"Springfield, VA",86000.0,125000.0,103961.0,Glassdoor
keasis Inc,3.5,,,,Unknown / Non-Applicable,Junior Data Scientist,"Columbus, OH",76800.0,92160.0,84480.0,Employer
Actfore,4.7,Information Technology,Information Technology Support Services,2022.0,$5 to $25 million (USD),Junior Data Scientist,"Reston, VA",82000.0,123000.0,100654.0,Glassdoor
,4.1,,,,,Data Scientist,"Pasadena, CA",75000.0,100000.0,87500.0,Employer
Themis Insight,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",85000.0,118000.0,100304.0,Glassdoor
WSP,3.7,,,,$5 to $25 million (USD),Early Career Data Scientist,"Seattle, WA",76000.0,110000.0,91524.0,Glassdoor
Labcorp,3.6,Healthcare,Health Care Services & Hospitals,1978.0,$10+ billion (USD),Senior Data Scientist,"Durham, NC",124000.0,158000.0,139754.0,Glassdoor
Verizon,3.8,Telecommunications,Telecommunications Services,2000.0,$10+ billion (USD),Data Scientist Entry Level Opportunity,"Bedminster, NJ",117000.0,177000.0,143896.0,Glassdoor
URBN,3.7,,,,Unknown / Non-Applicable,URBN Senior Data Scientist,"Philadelphia, PA",119000.0,166000.0,140441.0,Glassdoor
NiSource,3.4,"Energy, Mining & Utilities",Energy & Utilities,1987.0,$1 to $5 billion (USD),Senior Data Scientist,"Columbus, OH",91000.0,137000.0,113800.0,Employer
Caterpillar,4.0,Manufacturing,Machinery Manufacturing,1925.0,$10+ billion (USD),Entry-Level Data Scientist,"Morton, IL",108000.0,138000.0,122173.0,Glassdoor
Honda,4.0,Manufacturing,Transportation Equipment Manufacturing,1948.0,Unknown / Non-Applicable,Data Scientist,"Marysville, OH",54000.0,80000.0,66950.0,Employer
APS,3.8,Manufacturing,Chemical Manufacturing,1975.0,$1 to $5 million (USD),Data Scientist,"Tonopah, AZ",98000.0,124000.0,110386.0,Glassdoor
Context Labs,3.5,Information Technology,Software Development,,Unknown / Non-Applicable,Data Scientist,"Cambridge, MA",101000.0,137000.0,117991.0,Glassdoor
Meridiam,4.1,,,,$1 to $5 million (USD),Data Scientist,"Washington, DC",103000.0,141000.0,120394.0,Glassdoor
"The Kenjya-Trusant Group, LLC",3.7,Management & Consulting,Business Consulting,2002.0,$5 to $25 million (USD),(VV) Data Scientist - Level 3 (TS/SCI w/ Polygraph),"Augusta, GA",81000.0,134000.0,104134.0,Glassdoor
